TRAVEL_ID,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_PERSONA,TRAVEL_MISSION,TRAVEL_MISSION_CHECK
d_d000608,D01,d000608,2;22;26;3;6;,2022-08-19,2022-08-22,자가용,,2;22;26;3;6;,12;22;26
d_d006067,D01,d006067,2;22;6;,2022-10-22,2022-10-24,자가용,,2;22;6;,2;6;22
d_d001555,D02,d001555,21;22;24;4;,2022-09-24,2022-09-28,대중교통 등,,21;22;24;4;,1;27;4
d_d002734,D01,d002734,10;22;5;8;9;,2022-10-02,2022-10-06,대중교통 등,,10;22;5;8;9;,1;6;4
d_d010086,D01,d010086,2;22;7;5;21;24;26;23;27;9;11;4;3;1;6;,2022-10-30,2022-11-02,자가용,,2;22;7;5;21;24;26;23;27;9;11;4;3;1;6;,5;2;21
d_d004957,D01,d004957,2;22;23;4;8;,2022-10-16,2022-10-21,대중교통 등,40세 이상 3인 이상 친구,2;22;23;4;8;,2;8;22
b_b003295,D02,b003295,1;10;12;2;5;,2022-10-28,2022-11-01,자가용,,1;10;12;2;5;,5;1;9
d_d012389,D01,d012389,21;22;26;,2022-11-13,2022-11-14,,,21;22;26;,21;22;26
d_d000339,D01,d000339,1;2;4;5;6;,2022-09-01,2022-09-05,자가용,39세 이하 부모 동반 여행,1;2;4;5;6;,2;6;5
d_d007969,D01,d007969,2;4;,2022-10-29,2022-10-31,자가용,,2;4;,2;23;4
d_d003589,D01,d003589,6;27;1;4;,2022-10-05,2022-10-08,대중교통 등,39세 이하 커플 여행,6;27;1;4;,6;1;4
d_d001686,D01,d001686,1;11;21;4;5;,2022-09-27,2022-10-01,자가용,39세 이하 커플 여행,1;11;21;4;5;,21;28;11
d_d002483,D01,d002483,11;2;22;24;6;,2022-10-23,2022-10-27,대중교통 등,40세 이상 부모 동반 여행,11;2;22;24;6;,1;2;5
d_d010844,D01,d010844,24;28;,2022-11-01,2022-11-05,대중교통 등,,24;28;,21;24;11
d_d004159,D01,d004159,2;9;11;,2022-10-07,2022-10-11,대중교통 등,40세 이상 3대 동반 여행,2;9;11;,6;9;11
d_d001189,D02,d001189,21;22;27;,2022-09-17,2022-09-22,대중교통 등,,21;22;27;,3;22;27
d_d005480,D01,d005480,5;8;,2022-10-11,2022-10-13,자가용,,5;8;,8;22;6
