TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
c000269,30,남,30,7,1,1,1,2,,6,,2,1,50,50130,26,26350,48,48310,4,2,2,2,4,5,5,5,대전광역시,충남,3인 이상 여행(가족 외),2022-08-29~2022-08-30,3,1,2,3
d010844,28,남,30,6,1,1,1,2,,5,,3,6,41,41360,42,42150,50,50110,4,2,2,4,4,2,5,4,경기도,제주,나홀로 여행,2022-11-01~2022-11-04,2,4,1,0
d002055,11,여,20,6,1,1,1,4,,4,,3,3,50,50110,50,50130,42,42210,1,2,2,5,4,3,6,7,서울특별시,제주,2인 여행(가족 외),2022-10-14~2022-10-18,1,2,3,1
d000134,11,남,40,8,1,2,4,2,,12,12,3,1,50,50130,42,42210,26,26350,1,1,1,1,1,7,4,4,서울특별시,제주,자녀 동반 여행,2022-08-13~2022-08-16,1,7,2,3
a011254,11,여,40,5,1,2,4,4,,6,11,3,5,41,41480,42,42130,44,44210,5,7,6,3,6,5,2,7,서울특별시,인천,부모 동반 여행,2022-10-24~2022-10-24,3,1,2,3
d008966,41,여,20,5,3,1,4,12,,2,6,4,2,42,42150,44,44825,41,41820,3,4,4,3,4,6,6,7,경기도,제주,부모 동반 여행,2022-10-29~2022-10-31,2,1,3,3
d007602,29,여,20,6,2,1,3,12,,1,3,2,1,11,11230,42,42150,26,26710,2,1,4,2,5,5,1,6,광주광역시,제주,2인 여행(가족 외),2022-10-25~2022-10-26,3,1,2,1
d003881,50,여,30,6,1,1,1,2,,4,,3,2,50,50130,46,46130,47,47130,1,2,2,4,2,5,5,3,서울특별시,제주,나홀로 여행,2022-10-08~2022-10-09,2,10,1,0
d005398,50,남,30,6,1,2,4,5,,5,7,3,3,50,50130,11,11680,26,26350,2,2,4,4,2,4,2,4,제주특별자치도,제주,3인 이상 여행(가족 외),2022-10-29~2022-10-30,4,6,1,3
d010768,44,남,20,6,1,1,1,2,,5,,2,1,44,44825,45,45140,27,27170,1,1,1,3,6,3,2,4,제주특별자치도,제주,2인 여행(가족 외),2022-11-04~2022-11-07,7,3,2,1
d012317,50,여,30,5,4,1,2,13,,4,6,2,1,50,50130,26,26470,45,45110,2,2,6,1,5,2,6,6,제주특별자치도,제주,나홀로 여행,2022-11-13~2022-11-13,1,6,2,0
